T,E,M,V,Y,Cv,X
0.2,-1.89745,0.935768,0,0.947764,0.539836,0.435506
0.3,-1.84335,0.899226,0,0.919274,0.544332,1.00515
0.4,-1.78623,0.855242,0,0.888368,0.573817,1.70562
0.5,-1.73008,0.814376,1.2e-05,0.858064,0.613544,1.47834
0.6,-1.66904,0.779231,0.000184,0.820032,0.648786,1.7603
0.7,-1.60318,0.747974,0.000752,0.779603,0.742337,1.98187
0.8,-1.52654,0.687309,0.003088,0.719528,0.842783,3.60552
0.9,-1.43829,0.611299,0.009304,0.63188,0.985244,4.18444
1,-1.30983,0.346795,0.025828,0.0498249,1.25569,16.8003
1.1,-1.16507,0.121664,0.051848,-0.313672,1.21432,8.543
1.2,-1.04739,0.12963,0.074836,0.0575857,1.10991,10.6014
1.3,-0.939071,0.0853619,0.098448,-0.0697632,1.00817,4.31112
1.4,-0.850292,0.0571697,0.119632,-0.0318375,0.788448,1.41778
1.5,-0.780329,0.0547967,0.136856,-0.0207469,0.606245,1.32584
1.6,-0.720446,0.0492293,0.1521,-0.0198432,0.600921,0.998174
1.7,-0.665092,0.0407316,0.165484,-0.00886324,0.481107,0.658192
1.8,-0.620712,0.041094,0.178464,-0.0117872,0.401416,0.683907
1.9,-0.58252,0.0388494,0.187556,-0.0747428,0.368892,0.516072
