T,E,M,V,Y,Cv,X
0.2,-1.89736,0.912413,0,0.94769,0.512878,7.05435
0.3,-1.84355,0.881365,0,0.919474,0.550902,5.67065
0.4,-1.78765,0.835799,7.32422e-07,0.889282,0.560493,7.21498
0.5,-1.72966,0.785692,1.34277e-05,0.856314,0.57929,25.5608
0.6,-1.66799,0.755209,0.00016626,0.820259,0.654194,5.61308
0.7,-1.60166,0.683166,0.000838867,0.776364,0.675705,18.1319
0.8,-1.52676,0.63964,0.00309448,0.7189,0.787485,15.3236
0.9,-1.43864,0.561955,0.00904443,0.622853,0.983124,23.8424
1,-1.31933,0.289532,0.0239094,0.248631,1.74244,189.215
1.1,-1.1738,0.0616753,0.049239,0.0317343,1.43648,17.9658
1.2,-1.04657,0.0464911,0.0749387,0.00772949,1.1376,8.12519
1.3,-0.939749,0.0318625,0.0985686,0.0144091,1.01058,3.10153
1.4,-0.852595,0.0265639,0.119303,-0.0175375,0.801247,2.29512
1.5,-0.778935,0.0217085,0.137208,0.0179945,0.663456,1.38687
1.6,-0.717718,0.0191367,0.152683,0.0141601,0.547412,1.00085
1.7,-0.664984,0.0169107,0.165948,-0.00229331,0.493332,0.759969
1.8,-0.620629,0.0155559,0.177834,0.000145761,0.424518,0.629119
1.9,-0.581579,0.0153997,0.187913,0.0139895,0.36462,0.530899
