H,T,E,dE,M,dM,V,dV,Y,dY,Cv,X
0.1,0.2,-1.94971,3.57875e-05,0.953393,3.27372e-05,0,0,0.950239,7.57483e-07,0.512713,0.087141
0.1,0.3,-1.89741,5.34636e-05,0.929005,4.90963e-05,0,0,0.923517,1.17093e-06,0.526822,0.13343
0.1,0.4,-1.84338,7.0637e-05,0.903849,6.58462e-05,1.2207e-07,1.22009e-07,0.895274,2.99787e-06,0.539102,0.173665
0.1,0.5,-1.78691,9.28163e-05,0.877378,8.18044e-05,8.91113e-06,1.08958e-06,0.864904,3.82667e-06,0.571679,0.222458
0.1,0.6,-1.72797,0.000115148,0.849641,9.64209e-05,7.97119e-05,3.1611e-06,0.831879,3.86292e-06,0.580502,0.261028
0.1,0.7,-1.66484,0.000133691,0.819921,0.00011546,0.000473877,7.60771e-06,0.794366,1.08136e-05,0.636686,0.312221
0.1,0.8,-1.59623,0.000167805,0.787096,0.000142123,0.00175696,1.54382e-05,0.749882,1.76948e-05,0.703232,0.401039
0.1,0.9,-1.5191,0.000200526,0.749277,0.000159679,0.00507385,2.65889e-05,0.694069,2.62728e-05,0.808579,0.484215
0.1,1,-1.43044,0.00023187,0.703379,0.000195096,0.0120021,3.97331e-05,0.619572,7.53917e-05,0.921006,0.626475
0.1,1.1,-1.32705,0.000284727,0.644878,0.00026457,0.0243529,5.97649e-05,0.521408,9.01574e-05,1.09017,0.974451
0.1,1.2,-1.20728,0.000328547,0.568266,0.000319048,0.0436478,8.28511e-05,0.394312,0.000270425,1.22584,1.36294
0.1,1.3,-1.07709,0.000363847,0.472071,0.000402179,0.0688965,9.79471e-05,0.267737,0.000159362,1.26681,2.01903
0.1,1.4,-0.953225,0.00036128,0.371476,0.000437341,0.0962902,0.000108332,0.161755,0.000166796,1.10851,2.25446
0.1,1.5,-0.848379,0.000338205,0.284805,0.000452977,0.121051,0.000109343,0.0917442,0.000173937,0.888785,2.18883
0.1,1.6,-0.766141,0.000329273,0.221676,0.000450663,0.141316,0.000117104,0.0478743,0.000181394,0.71897,1.96233
0.1,1.7,-0.70069,0.000324468,0.177381,0.000411284,0.157692,0.000117936,0.0342446,0.000225958,0.577196,1.61757
0.1,1.8,-0.646608,0.000306213,0.144032,0.000398053,0.171717,0.000114739,0.0248863,0.000116222,0.486065,1.43699
0.1,1.9,-0.60125,0.000297358,0.120732,0.000367345,0.183624,0.000117315,0.0128622,0.000305097,0.405207,1.15977
