H,T,E,dE,M,dM,V,dV,Y,dY,Cv,X
0,0.2,-1.89724,3.72206e-05,0.916216,0.000257744,0,0,0.947668,1.04446e-06,0.530088,5.41906
0,0.3,-1.84348,5.22279e-05,0.868402,0.000427747,0,0,0.919328,1.31353e-06,0.545785,10.0099
0,0.4,-1.78768,7.55539e-05,0.835754,0.000427348,3.66211e-07,2.11115e-07,0.88928,4.25059e-06,0.574071,7.41818
0,0.5,-1.72937,9.6754e-05,0.788244,0.000548475,1.68457e-05,1.38622e-06,0.85668,7.01348e-06,0.595697,9.89965
0,0.6,-1.66781,0.000120562,0.739441,0.000678223,0.000145264,4.49825e-06,0.820021,1.38319e-05,0.642979,12.4383
0,0.7,-1.60117,0.000149573,0.692782,0.000827199,0.000843872,1.02142e-05,0.776606,2.7282e-05,0.714306,15.7831
0,0.8,-1.52688,0.000178633,0.633714,0.000899962,0.00312976,2.09416e-05,0.716938,3.57119e-05,0.797078,16.87
0,0.9,-1.43826,0.000219227,0.556964,0.000993039,0.00913574,3.55823e-05,0.620384,0.00015787,0.984543,17.9653
0,1,-1.31826,0.000293953,0.251584,0.00275751,0.0241173,6.3074e-05,0.0265753,0.00233095,1.41743,124.069
0,1.1,-1.17416,0.000313261,0.0781581,0.00133381,0.0490433,8.16937e-05,0.0444569,0.000932928,1.36338,26.4349
0,1.2,-1.04673,0.000334109,0.0470659,0.000781587,0.0749535,9.29909e-05,-0.0109909,0.000598182,1.20791,8.45549
0,1.3,-0.939556,0.00031966,0.0316862,0.000527556,0.0986722,9.87699e-05,-0.00397531,0.000518686,0.966671,3.57902
0,1.4,-0.852237,0.00030157,0.0255226,0.00042744,0.119136,0.00010292,-0.00875704,0.000396033,0.792425,2.0585
0,1.5,-0.77912,0.00029966,0.0218205,0.000362133,0.137128,0.000105099,-0.00735467,0.000282965,0.66905,1.42031
0,1.6,-0.717255,0.00029192,0.0188839,0.000315342,0.152661,0.000108155,0.00451848,0.000244489,0.553628,0.996003
0,1.7,-0.66551,0.000298227,0.0172301,0.000284919,0.165946,0.000114641,-0.00203753,0.000179082,0.488374,0.803119
0,1.8,-0.620391,0.000288753,0.0157746,0.000262968,0.177609,0.000113068,0.00286451,0.000110551,0.423134,0.636421
0,1.9,-0.581321,0.000268527,0.014745,0.000246606,0.188048,0.000113426,0.00689778,0.000130711,0.359792,0.524419
